label,description
1,A8m_left
3,A8dl_left
5,A9l_left
7,A6dl_left
9,A6m_left
11,A9m_left
13,A10m_left
15,A9/46d_left
17,IFJ_left
19,A46_left
21,A9/46v_left
23,A8vl_left
25,A6vl_left
27,A10l_left
29,A44d_left
31,IFS_left
33,A45c_left
35,A45r_left
37,A44op_left
39,A44v_left
41,A14m_left
43,A12/47o_left
45,A11l_left
47,A11m_left
49,A13_left
51,A12/47l_left
53,A4hf_left
55,A6cdl_left
57,A4ul_left
59,A4t_left
61,A4tl_left
63,A6cvl_left
65,A1/2/3ll_left
67,A4ll_left
69,A38m_left
71,A41/42_left
73,TE1.0_1.2_left
75,A22c_left
77,A38l_left
79,A22r_left
81,A21c_left
83,A21r_left
85,A37dl_left
87,aSTS_left
89,A20iv_left
91,A37elv_left
93,A20r_left
95,A20il_left
97,A37vl_left
99,A20cl_left
101,A20cv_left
103,A20rv_left
105,A37mv_left
107,A37lv_left
109,A35/36r_left
111,A35/36c_left
113,TL_left
115,A28/34_left
117,TI_left
119,TH_left
121,rpSTS_left
123,cpSTS_left
125,A7r_left
129,A5l_left
131,A7pc_left
133,A7ip_left
135,A39c_left
137,A39rd_left
139,A40rd_left
141,A40c_left
143,A39rv_left
145,A40rv_left
147,A7m_left
149,A5m_left
151,dmPOS_left
153,A31_left
155,A1/2/3ulhf_left
157,A1/2/3tonIa_left
159,A2_left
161,A1/2/3tru_left
163,G_left
165,vIa_left
167,dIa_left
169,vId/vIg_left
171,dIg_left
173,dId_left
175,A23d_left
177,A24rv_left
179,A32p_left
181,A23v_left
183,A24cd_left
185,A23c_left
187,A32sg_left
189,cLinG_left
191,rCunG_left
193,cCunG_left
195,rLinG_left
197,vmPOS_left
199,mOccG_left
201,V5/MT+_left
203,OPC_left
205,iOccG_left
207,msOccG_left
209,lsOccG_left
211,mAmyg_left
213,lAmyg_left
215,rHipp_left
217,cHipp_left
219,vCa_left
223,NAC_left
225,vmPu_left
227,dCa_left
229,dlPu_left
231,mPFtha_left
233,mPMtha_left
235,Stha_left
237,rTtha_left
239,PPtha_left
241,Otha_left
243,cTtha_left
245,lPFtha_left
2,A8m_right
4,A8dl_right
6,A9l_right
8,A6dl_right
10,A6m_right
12,A9m_right
14,A10m_right
16,A9/46d_right
18,IFJ_right
20,A46_right
22,A9/46v_right
24,A8vl_right
26,A6vl_right
28,A10l_right
30,A44d_right
32,IFS_right
34,A45c_right
36,A45r_right
38,A44op_right
40,A44v_right
42,A14m_right
44,A12/47o_right
46,A11l_right
48,A11m_right
50,A13_right
52,A12/47l_right
54,A4hf_right
56,A6cdl_right
58,A4ul_right
60,A4t_right
62,A4tl_right
64,A6cvl_right
66,A1/2/3ll_right
68,A4ll_right
72,A41/42_right
74,TE1.0_1.2_right
76,A22c_right
78,A38l_right
80,A22r_right
82,A21c_right
84,A21r_right
86,A37dl_right
88,aSTS_right
90,A20iv_right
92,A37elv_right
94,A20r_right
96,A20il_right
98,A37vl_right
100,A20cl_right
102,A20cv_right
104,A20rv_right
106,A37mv_right
108,A37lv_right
110,A35/36r_right
112,A35/36c_right
114,TL_right
116,A28/34_right
118,TI_right
120,TH_right
122,rpSTS_right
124,cpSTS_right
126,A7r_right
128,A7c_right
130,A5l_right
132,A7pc_right
134,A7ip_right
136,A39c_right
138,A39rd_right
140,A40rd_right
142,A40c_right
144,A39rv_right
146,A40rv_right
148,A7m_right
150,A5m_right
152,dmPOS_right
154,A31_right
156,A1/2/3ulhf_right
158,A1/2/3tonIa_right
160,A2_right
162,A1/2/3tru_right
164,G_right
166,vIa_right
168,dIa_right
170,vId/vIg_right
172,dIg_right
174,dId_right
176,A23d_right
178,A24rv_right
180,A32p_right
182,A23v_right
184,A24cd_right
186,A23c_right
188,A32sg_right
190,cLinG_right
192,rCunG_right
194,cCunG_right
196,rLinG_right
198,vmPOS_right
200,mOccG_right
202,V5/MT+_right
204,OPC_right
206,iOccG_right
208,msOccG_right
210,lsOccG_right
212,mAmyg_right
214,lAmyg_right
216,rHipp_right
218,cHipp_right
220,vCa_right
222,GP_right
224,NAC_right
226,vmPu_right
228,dCa_right
230,dlPu_right
232,mPFtha_right
234,mPMtha_right
236,Stha_right
238,rTtha_right
240,PPtha_right
242,Otha_right
244,cTtha_right
246,lPFtha_right
