label,description
1,ctx-lh-BA1_3
2,ctx-lh-BA2
3,ctx-lh-BA4
4,ctx-lh-BA5
5,ctx-lh-BA6
6,ctx-lh-BA7
7,ctx-lh-BA8
8,ctx-lh-BA9
9,ctx-lh-BA10
10,ctx-lh-BA11
11,ctx-lh-BA13
12,ctx-lh-BA16
13,ctx-lh-BA17
14,ctx-lh-BA18
15,ctx-lh-BA19
16,ctx-lh-BA20
17,ctx-lh-BA21
18,ctx-lh-BA22
19,ctx-lh-BA23
20,ctx-lh-BA24
21,ctx-lh-BA25
22,ctx-lh-BA26_29_30
23,ctx-lh-BA27
24,ctx-lh-BA28
25,ctx-lh-BA31
26,ctx-lh-BA32
27,ctx-lh-BA33
28,ctx-lh-BA34
29,ctx-lh-BA35_36
30,ctx-lh-BA37
31,ctx-lh-BA38
32,ctx-lh-BA39
33,ctx-lh-BA40
34,ctx-lh-BA41_42_52
35,ctx-lh-BA43
36,ctx-lh-BA44
37,ctx-lh-BA45
38,ctx-lh-BA46
39,ctx-lh-BA47
101,ctx-rh-BA1_3
102,ctx-rh-BA2
103,ctx-rh-BA4
104,ctx-rh-BA5
105,ctx-rh-BA6
106,ctx-rh-BA7
107,ctx-rh-BA8
108,ctx-rh-BA9
109,ctx-rh-BA10
110,ctx-rh-BA11
111,ctx-rh-BA13
112,ctx-rh-BA16
113,ctx-rh-BA17
114,ctx-rh-BA18
115,ctx-rh-BA19
116,ctx-rh-BA20
117,ctx-rh-BA21
118,ctx-rh-BA22
119,ctx-rh-BA23
120,ctx-rh-BA24
121,ctx-rh-BA25
122,ctx-rh-BA26_29_30
123,ctx-rh-BA27
124,ctx-rh-BA28
125,ctx-rh-BA31
126,ctx-rh-BA32
127,ctx-rh-BA33
128,ctx-rh-BA34
129,ctx-rh-BA35_36
130,ctx-rh-BA37
131,ctx-rh-BA38
132,ctx-rh-BA39
133,ctx-rh-BA40
134,ctx-rh-BA41_42_52
135,ctx-rh-BA43
136,ctx-rh-BA44
137,ctx-rh-BA45
138,ctx-rh-BA46
139,ctx-rh-BA47
